[INFO 1637368408.739548300] [gps_imu_simul_node]: listened state: {position: {x: 0.770838, y: 0.873279, theta: 1.594750}, velocity: {u: 0.999848, v: -0.000114, r: 0.000006}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.740449900] [gps_imu_simul_node]: published simulated state: {position: {x: 0.770838, y: 0.873279, theta: 1.594750}, velocity: {u: 0.999848, v: -0.000114, r: 0.000006}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.813858100] [gps_imu_simul_node]: listened state: {position: {x: 0.764165, y: 0.965044, theta: 1.595055}, velocity: {u: 0.999715, v: -0.000226, r: 0.000011}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.814763500] [gps_imu_simul_node]: published simulated state: {position: {x: 0.764165, y: 0.965044, theta: 1.595055}, velocity: {u: 0.999715, v: -0.000226, r: 0.000011}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.824317100] [gps_imu_simul_node]: listened state: {position: {x: 0.753660, y: 1.055673, theta: 1.595417}, velocity: {u: 0.999614, v: -0.000334, r: 0.000017}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.825504400] [gps_imu_simul_node]: published simulated state: {position: {x: 0.753660, y: 1.055673, theta: 1.595417}, velocity: {u: 0.999614, v: -0.000334, r: 0.000017}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.834109800] [gps_imu_simul_node]: listened state: {position: {x: 0.743723, y: 1.146938, theta: 1.595788}, velocity: {u: 0.999560, v: -0.000438, r: 0.000023}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.835246200] [gps_imu_simul_node]: published simulated state: {position: {x: 0.743723, y: 1.146938, theta: 1.595788}, velocity: {u: 0.999560, v: -0.000438, r: 0.000023}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.845354400] [gps_imu_simul_node]: listened state: {position: {x: 0.734381, y: 1.238853, theta: 1.596169}, velocity: {u: 0.999560, v: -0.000539, r: 0.000028}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.846166900] [gps_imu_simul_node]: published simulated state: {position: {x: 0.734381, y: 1.238853, theta: 1.596169}, velocity: {u: 0.999560, v: -0.000539, r: 0.000028}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637368408.856367800] [gps_imu_simul_node]: listened state: {position: {x: 0.725648, y: 1.331450, theta: 1.596558}, velocity: {u: 0.999622, v: -0.000636, r: 0.000034}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
