[INFO 1635535932.629880500] [kalman_filter_node]: listened simulated state: {position: {x: 1.084141, y: 1.054022, psi: 1.000000}, velocity: {u: 0.999811, v: -0.000129, r: 0.000005}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.630757500] [kalman_filter_node]: published estimated state: {position: {x: 1.084141, y: 1.054022, psi: 1.000000}, velocity: {u: 0.999811, v: -0.000129, r: 0.000005}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.670489700] [kalman_filter_node]: listened simulated state: {position: {x: 1.168269, y: 1.108030, psi: 0.999999}, velocity: {u: 0.999636, v: -0.000260, r: 0.000010}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.671369200] [kalman_filter_node]: published estimated state: {position: {x: 1.168269, y: 1.108030, psi: 0.999999}, velocity: {u: 0.999636, v: -0.000260, r: 0.000010}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.681617000] [kalman_filter_node]: listened simulated state: {position: {x: 1.252389, y: 1.162024, psi: 0.999998}, velocity: {u: 0.999490, v: -0.000391, r: 0.000015}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.682516700] [kalman_filter_node]: published estimated state: {position: {x: 1.252389, y: 1.162024, psi: 0.999998}, velocity: {u: 0.999490, v: -0.000391, r: 0.000015}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.691534000] [kalman_filter_node]: listened simulated state: {position: {x: 1.336504, y: 1.216009, psi: 0.999996}, velocity: {u: 0.999386, v: -0.000522, r: 0.000019}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.692445100] [kalman_filter_node]: published estimated state: {position: {x: 1.336504, y: 1.216009, psi: 0.999996}, velocity: {u: 0.999386, v: -0.000522, r: 0.000019}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.701638000] [kalman_filter_node]: listened simulated state: {position: {x: 1.420622, y: 1.269987, psi: 0.999994}, velocity: {u: 0.999332, v: -0.000654, r: 0.000024}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.702520700] [kalman_filter_node]: published estimated state: {position: {x: 1.420622, y: 1.269987, psi: 0.999994}, velocity: {u: 0.999332, v: -0.000654, r: 0.000024}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.711171900] [kalman_filter_node]: listened simulated state: {position: {x: 1.504749, y: 1.323964, psi: 0.999991}, velocity: {u: 0.999336, v: -0.000788, r: 0.000029}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.711911600] [kalman_filter_node]: published estimated state: {position: {x: 1.504749, y: 1.323964, psi: 0.999991}, velocity: {u: 0.999336, v: -0.000788, r: 0.000029}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.721454800] [kalman_filter_node]: listened simulated state: {position: {x: 1.588894, y: 1.377944, psi: 0.999988}, velocity: {u: 0.999402, v: -0.000922, r: 0.000034}, time: 0.700000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.722354800] [kalman_filter_node]: published estimated state: {position: {x: 1.588894, y: 1.377944, psi: 0.999988}, velocity: {u: 0.999402, v: -0.000922, r: 0.000034}, time: 0.700000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.730998700] [kalman_filter_node]: listened simulated state: {position: {x: 1.673066, y: 1.431934, psi: 0.999985}, velocity: {u: 0.999533, v: -0.001057, r: 0.000039}, time: 0.800000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.731720200] [kalman_filter_node]: published estimated state: {position: {x: 1.673066, y: 1.431934, psi: 0.999985}, velocity: {u: 0.999533, v: -0.001057, r: 0.000039}, time: 0.800000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.740234800] [kalman_filter_node]: listened simulated state: {position: {x: 1.757272, y: 1.485937, psi: 0.999980}, velocity: {u: 0.999730, v: -0.001194, r: 0.000044}, time: 0.900000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.741135200] [kalman_filter_node]: published estimated state: {position: {x: 1.757272, y: 1.485937, psi: 0.999980}, velocity: {u: 0.999730, v: -0.001194, r: 0.000044}, time: 0.900000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.750181200] [kalman_filter_node]: listened simulated state: {position: {x: 1.841522, y: 1.539960, psi: 0.999976}, velocity: {u: 0.999991, v: -0.001333, r: 0.000049}, time: 1.000000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.751126300] [kalman_filter_node]: published estimated state: {position: {x: 1.841522, y: 1.539960, psi: 0.999976}, velocity: {u: 0.999991, v: -0.001333, r: 0.000049}, time: 1.000000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.761268500] [kalman_filter_node]: listened simulated state: {position: {x: 1.925825, y: 1.594007, psi: 0.999971}, velocity: {u: 1.000309, v: -0.001475, r: 0.000053}, time: 1.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.761990200] [kalman_filter_node]: published estimated state: {position: {x: 1.925825, y: 1.594007, psi: 0.999971}, velocity: {u: 1.000309, v: -0.001475, r: 0.000053}, time: 1.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.769883200] [kalman_filter_node]: listened simulated state: {position: {x: 2.010188, y: 1.648083, psi: 0.999965}, velocity: {u: 1.000679, v: -0.001619, r: 0.000058}, time: 1.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.770621000] [kalman_filter_node]: published estimated state: {position: {x: 2.010188, y: 1.648083, psi: 0.999965}, velocity: {u: 1.000679, v: -0.001619, r: 0.000058}, time: 1.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.779347200] [kalman_filter_node]: listened simulated state: {position: {x: 2.094617, y: 1.702190, psi: 0.999959}, velocity: {u: 1.001090, v: -0.001768, r: 0.000063}, time: 1.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.780114000] [kalman_filter_node]: published estimated state: {position: {x: 2.094617, y: 1.702190, psi: 0.999959}, velocity: {u: 1.001090, v: -0.001768, r: 0.000063}, time: 1.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.788997500] [kalman_filter_node]: listened simulated state: {position: {x: 2.179117, y: 1.756331, psi: 0.999952}, velocity: {u: 1.001529, v: -0.001921, r: 0.000068}, time: 1.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.789740400] [kalman_filter_node]: published estimated state: {position: {x: 2.179117, y: 1.756331, psi: 0.999952}, velocity: {u: 1.001529, v: -0.001921, r: 0.000068}, time: 1.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.798077600] [kalman_filter_node]: listened simulated state: {position: {x: 2.263693, y: 1.810508, psi: 0.999945}, velocity: {u: 1.001983, v: -0.002079, r: 0.000073}, time: 1.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.799148800] [kalman_filter_node]: published estimated state: {position: {x: 2.263693, y: 1.810508, psi: 0.999945}, velocity: {u: 1.001983, v: -0.002079, r: 0.000073}, time: 1.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.808363400] [kalman_filter_node]: listened simulated state: {position: {x: 2.348346, y: 1.864719, psi: 0.999938}, velocity: {u: 1.002436, v: -0.002243, r: 0.000077}, time: 1.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635535932.809165200] [kalman_filter_node]: published estimated state: {position: {x: 2.348346, y: 1.864719, psi: 0.999938}, velocity: {u: 1.002436, v: -0.002243, r: 0.000077}, time: 1.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
