[INFO 1632868814.918264000] [rosbag2_storage]: Opened database 'rosbag2_2021_09_28-19_40_14\rosbag2_2021_09_28-19_40_14_0.db3' for READ_WRITE. (open() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_storage_default_plugins\src\rosbag2_storage_default_plugins\sqlite\sqlite_storage.cpp:217)
[INFO 1632868814.918355600] [rosbag2_recorder]: Listening for topics... (record() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:97)
[INFO 1632868814.919295600] [rosbag2_recorder]: Subscribed to topic '/parameter_events' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868814.920043600] [rosbag2_recorder]: Subscribed to topic '/rosout' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868815.170042500] [rosbag2_recorder]: Subscribed to topic '/rudder_angle' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868815.170650000] [rosbag2_recorder]: Subscribed to topic '/propeller_rotation' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868815.191155000] [rosbag2_recorder]: Subscribed to topic '/state' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868908.371734800] [rosbag2_recorder]: Subscribed to topic '/desired_surge_velocity' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868908.372693200] [rosbag2_recorder]: Subscribed to topic '/propeller_thrust' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868908.373515800] [rosbag2_recorder]: Subscribed to topic '/desired_yaw_angle' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868908.374431700] [rosbag2_recorder]: Subscribed to topic '/estimated_state' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868908.375206000] [rosbag2_recorder]: Subscribed to topic '/filtered_state' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
[INFO 1632868908.375904100] [rosbag2_recorder]: Subscribed to topic '/simulated_state' (subscribe_topic() at C:\dev\ros2_galactic\src\ros2\rosbag2\rosbag2_transport\src\rosbag2_transport\recorder.cpp:207)
